Run,spots,bases,avgLength,size_MB,download_path,Platform,BioProject,ProjectID,BioSample,ScientificName
SRR1161528,163482,393406468,2406,1504,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR001/1161/SRR1161528/SRR1161528.lite.1,PACBIO_SMRT,PRJNA237250,237250,SAMN02616002,Xanthomonas oryzae pv. oryzae PXO86
SRR1161530,163482,369051220,2257,1418,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/161/SRR1161530/SRR1161530.lite.1,PACBIO_SMRT,PRJNA237250,237250,SAMN02616002,Xanthomonas oryzae pv. oryzae PXO86
SRR1161531,163482,340264718,2081,1312,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/161/SRR1161531/SRR1161531.lite.1,PACBIO_SMRT,PRJNA237250,237250,SAMN02616002,Xanthomonas oryzae pv. oryzae PXO86
SRR1161532,163482,1391527337,8511,4751,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/161/SRR1161532/SRR1161532.lite.1,PACBIO_SMRT,PRJNA237250,237250,SAMN02616002,Xanthomonas oryzae pv. oryzae PXO86
SRR1161544,163482,1577178975,9647,5326,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/161/SRR1161544/SRR1161544.lite.1,PACBIO_SMRT,PRJNA237250,237250,SAMN02616002,Xanthomonas oryzae pv. oryzae PXO86
SRR1207355,163482,839278565,5133,3117,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/207/SRR1207355/SRR1207355.lite.1,PACBIO_SMRT,PRJNA28127,28127,SAMN02603061,Xanthomonas oryzae pv. oryzae PXO99A
SRR1207356,163482,730432908,4467,2749,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/207/SRR1207356/SRR1207356.lite.1,PACBIO_SMRT,PRJNA28127,28127,SAMN02603061,Xanthomonas oryzae pv. oryzae PXO99A
SRR1207358,163482,669698888,4096,2540,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/207/SRR1207358/SRR1207358.lite.1,PACBIO_SMRT,PRJNA28127,28127,SAMN02603061,Xanthomonas oryzae pv. oryzae PXO99A
SRR1207360,163482,603342879,3690,2306,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/207/SRR1207360/SRR1207360.lite.1,PACBIO_SMRT,PRJNA28127,28127,SAMN02603061,Xanthomonas oryzae pv. oryzae PXO99A
SRR2056977,81741,180856951,2212,707,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/056/SRR2056977/SRR2056977.lite.1,PACBIO_SMRT,PRJNA286129,286129,SAMN03765200,Xanthomonas oryzae pv. oryzae
SRR2062013,81741,171185772,2094,668,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/062/SRR2062013/SRR2062013.lite.1,PACBIO_SMRT,PRJNA286129,286129,SAMN03765200,Xanthomonas oryzae pv. oryzae
SRR2062014,81741,188541958,2306,719,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/062/SRR2062014/SRR2062014.lite.1,PACBIO_SMRT,PRJNA286129,286129,SAMN03765200,Xanthomonas oryzae pv. oryzae
